content,cleaning,case_folding,hasil_normalisasi,token,stopword_removal,stemming
Nggak pernah nyesel pesen hotel via Traveloka. Semua sesuai deskripsi dan review-nya membantu,Nggak pernah nyesel pesen hotel via Traveloka  Semua sesuai deskripsi dan review nya membantu,nggak pernah nyesel pesen hotel via traveloka  semua sesuai deskripsi dan review nya membantu,tidak pernah menyesal pesan hotel via traveloka semua sesuai deskripsi dan review nya membantu,"['tidak', 'pernah', 'menyesal', 'pesan', 'hotel', 'via', 'traveloka', 'semua', 'sesuai', 'deskripsi', 'dan', 'review', 'nya', 'membantu']","['menyesal', 'pesan', 'hotel', 'via', 'traveloka', 'sesuai', 'deskripsi', 'review', 'nya', 'membantu']",sesal pesan hotel via traveloka sesuai deskripsi review nya bantu
"Let's travel the world.. bulan depan otw Bangkok untuk yang pertama kali, thanks traveloka!",Let s travel the world   bulan depan otw Bangkok untuk yang pertama kali  thanks traveloka ,let s travel the world   bulan depan otw bangkok untuk yang pertama kali  thanks traveloka ,let si travel the world bulan depan otw bangkok untuk yang pertama kali thanks traveloka,"['let', 'si', 'travel', 'the', 'world', 'bulan', 'depan', 'otw', 'bangkok', 'untuk', 'yang', 'pertama', 'kali', 'thanks', 'traveloka']","['let', 'si', 'travel', 'the', 'world', 'otw', 'bangkok', 'kali', 'thanks', 'traveloka']",let si travel the world otw bangkok kali thanks traveloka
MANTAF solusi cari penginapan mudah dan hemat banyak promo nya.,MANTAF solusi cari penginapan mudah dan hemat banyak promo nya ,mantaf solusi cari penginapan mudah dan hemat banyak promo nya ,mantap solusi cari penginapann mudah dan hemat banyak promo nya,"['mantap', 'solusi', 'cari', 'penginapann', 'mudah', 'dan', 'hemat', 'banyak', 'promo', 'nya']","['mantap', 'solusi', 'cari', 'penginapann', 'mudah', 'hemat', 'promo', 'nya']",mantap solusi cari penginapann mudah hemat promo nya
bagus sangat membantu,bagus sangat membantu,bagus sangat membantu,bagus sangat membantu,"['bagus', 'sangat', 'membantu']","['bagus', 'membantu']",bagus bantu
helpfull,helpfull,helpfull,helpfull,['helpfull'],['helpfull'],helpfull
so convinient,so convinient,so convinient,sok convinient,"['sok', 'convinient']","['sok', 'convinient']",sok convinient
simpel dan gampang..,simpel dan gampang  ,simpel dan gampang  ,simpel dan gampang,"['simpel', 'dan', 'gampang']","['simpel', 'gampang']",simpel gampang
dapat harga promo Hotel Amaris,dapat harga promo Hotel Amaris,dapat harga promo hotel amaris,dapat harga promo hotel amaris,"['dapat', 'harga', 'promo', 'hotel', 'amaris']","['harga', 'promo', 'hotel', 'amaris']",harga promo hotel amar
jozz,jozz,jozz,jozz,['jozz'],['jozz'],jozz
berikan promo/ voucher hotel dan tiket pesawat. murah,berikan promo  voucher hotel dan tiket pesawat  murah,berikan promo  voucher hotel dan tiket pesawat  murah,berikan promo voucher hotel dan tiket pesawat murah,"['berikan', 'promo', 'voucher', 'hotel', 'dan', 'tiket', 'pesawat', 'murah']","['promo', 'voucher', 'hotel', 'tiket', 'pesawat', 'murah']",promo voucher hotel tiket pesawat murah
bagi yg ingin membeli tiket pesawat di sini sebaiknya jangan membeli asuransinya ( chubbtai ) dikarenakan auransi cubtai saat klaim kayak taii trims ( hati2 saat pembayaran ),bagi yg ingin membeli tiket pesawat di sini sebaiknya jangan membeli asuransinya   chubbtai   dikarenakan auransi cubtai saat klaim kayak taii trims   hati saat pembayaran  ,bagi yg ingin membeli tiket pesawat di sini sebaiknya jangan membeli asuransinya   chubbtai   dikarenakan auransi cubtai saat klaim kayak taii trims   hati saat pembayaran  ,bagi yang ingin membeli tiket pesawat di sini sebaiknya jangan membeli asuransinya chubbtai dikarenakan asuransi cubtai saat klaim kayak taii terima kasih hati saat pembayaran,"['bagi', 'yang', 'ingin', 'membeli', 'tiket', 'pesawat', 'di', 'sini', 'sebaiknya', 'jangan', 'membeli', 'asuransinya', 'chubbtai', 'dikarenakan', 'asuransi', 'cubtai', 'saat', 'klaim', 'kayak', 'taii', 'terima', 'kasih', 'hati', 'saat', 'pembayaran']","['membeli', 'tiket', 'pesawat', 'membeli', 'asuransinya', 'chubbtai', 'asuransi', 'cubtai', 'klaim', 'kayak', 'taii', 'terima', 'kasih', 'hati', 'pembayaran']",beli tiket pesawat beli asuransi chubbtai asuransi cubtai klaim kayak taii terima kasih hati bayar
is good,is good,is good,is good,"['is', 'good']","['is', 'good']",is good
"mesan tiket jam 14.40 ternyata sudah berangkat jam 09.00. tidak ada pemberitahuan apa2 baik dari email, pesan, dan wa. sudah bbrapa kali sering kejadian sperti ini. sangat merugikan baik waktu, tenaga, dan biaya. benar2 mengecewakan",mesan tiket jam   ternyata sudah berangkat jam    tidak ada pemberitahuan apa baik dari email  pesan  dan wa  sudah bbrapa kali sering kejadian sperti ini  sangat merugikan baik waktu  tenaga  dan biaya  benar mengecewakan,mesan tiket jam   ternyata sudah berangkat jam    tidak ada pemberitahuan apa baik dari email  pesan  dan wa  sudah bbrapa kali sering kejadian sperti ini  sangat merugikan baik waktu  tenaga  dan biaya  benar mengecewakan,mesan tiket jam ternyata sudah berangkat jam tidak ada pemberitahuan apa baik dari email pesan dan wa sudah beberapa kali sering kejadian seperti ini sangat merugikan baik waktu tenaga dan biaya benar mengecewakan,"['mesan', 'tiket', 'jam', 'ternyata', 'sudah', 'berangkat', 'jam', 'tidak', 'ada', 'pemberitahuan', 'apa', 'baik', 'dari', 'email', 'pesan', 'dan', 'wa', 'sudah', 'beberapa', 'kali', 'sering', 'kejadian', 'seperti', 'ini', 'sangat', 'merugikan', 'baik', 'waktu', 'tenaga', 'dan', 'biaya', 'benar', 'mengecewakan']","['mesan', 'tiket', 'jam', 'berangkat', 'jam', 'pemberitahuan', 'email', 'pesan', 'wa', 'kali', 'kejadian', 'merugikan', 'tenaga', 'biaya', 'mengecewakan']",mesan tiket jam berangkat jam pemberitahuan email pesan wa kali jadi rugi tenaga biaya kecewa
"mantap selalu,banyak bonus nya dan promo nya,tks",mantap selalu banyak bonus nya dan promo nya tks,mantap selalu banyak bonus nya dan promo nya tks,mantap selalu banyak bonus nya dan promo nya terima kasih,"['mantap', 'selalu', 'banyak', 'bonus', 'nya', 'dan', 'promo', 'nya', 'terima', 'kasih']","['mantap', 'bonus', 'nya', 'promo', 'nya', 'terima', 'kasih']",mantap bonus nya promo nya terima kasih
aku suka banget,aku suka banget,aku suka banget,aku suka banget,"['aku', 'suka', 'banget']","['suka', 'banget']",suka banget
iklan di mana² lagi main juga mana 30 detik pula,iklan di mana  lagi main juga mana  detik pula,iklan di mana  lagi main juga mana  detik pula,iklan di mana lagi main juga mana detik pula,"['iklan', 'di', 'mana', 'lagi', 'main', 'juga', 'mana', 'detik', 'pula']","['iklan', 'main', 'detik']",iklan main detik
banyak membantu dan akurat,banyak membantu dan akurat,banyak membantu dan akurat,banyak membantu dan akurat,"['banyak', 'membantu', 'dan', 'akurat']","['membantu', 'akurat']",bantu akurat
bestttttt,bestttttt,bestttttt,bestttttt,['bestttttt'],['bestttttt'],bestttttt
very good..👍👍,very good  ,very good  ,very good,"['very', 'good']","['very', 'good']",very good
"mantap, aplikasi langganan",mantap  aplikasi langganan,mantap  aplikasi langganan,mantap aplikasi langganan,"['mantap', 'aplikasi', 'langganan']","['mantap', 'aplikasi', 'langganan']",mantap aplikasi langgan
"apl ini sangat bermanfaat bagi saya, terutama beli tiket pesawat sama hotel",apl ini sangat bermanfaat bagi saya  terutama beli tiket pesawat sama hotel,apl ini sangat bermanfaat bagi saya  terutama beli tiket pesawat sama hotel,aplikasi ini sangat bermanfaat bagi saya terutama beli tiket pesawat sama hotel,"['aplikasi', 'ini', 'sangat', 'bermanfaat', 'bagi', 'saya', 'terutama', 'beli', 'tiket', 'pesawat', 'sama', 'hotel']","['aplikasi', 'bermanfaat', 'beli', 'tiket', 'pesawat', 'hotel']",aplikasi manfaat beli tiket pesawat hotel
bagus menarik,bagus menarik,bagus menarik,bagus menarik,"['bagus', 'menarik']","['bagus', 'menarik']",bagus tarik
pesan tiket wisata mudah dan murah,pesan tiket wisata mudah dan murah,pesan tiket wisata mudah dan murah,pesan tiket wisata mudah dan murah,"['pesan', 'tiket', 'wisata', 'mudah', 'dan', 'murah']","['pesan', 'tiket', 'wisata', 'mudah', 'murah']",pesan tiket wisata mudah murah
waww bangetttt super duper rekomen!!!! Kalau ada kendala sangat solutif dan fast responn,waww bangetttt super duper rekomen     Kalau ada kendala sangat solutif dan fast responn,waww bangetttt super duper rekomen     kalau ada kendala sangat solutif dan fast responn,wow banget super duper rekomen kalau ada kendala sangat solutif dan fast respon,"['wow', 'banget', 'super', 'duper', 'rekomen', 'kalau', 'ada', 'kendala', 'sangat', 'solutif', 'dan', 'fast', 'respon']","['wow', 'banget', 'super', 'duper', 'rekomen', 'kendala', 'solutif', 'fast', 'respon']",wow banget super duper rekomen kendala solutif fast respon
selalu langganan Traveloka. Trimakasih. sangat membantu,selalu langganan Traveloka  Trimakasih  sangat membantu,selalu langganan traveloka  trimakasih  sangat membantu,selalu langganan traveloka terima kasih sangat membantu,"['selalu', 'langganan', 'traveloka', 'terima', 'kasih', 'sangat', 'membantu']","['langganan', 'traveloka', 'terima', 'kasih', 'membantu']",langgan traveloka terima kasih bantu
lumayan bagus tp kadang tiket lambat,lumayan bagus tp kadang tiket lambat,lumayan bagus tp kadang tiket lambat,lumayan bagus tapi kadang tiket lambat,"['lumayan', 'bagus', 'tapi', 'kadang', 'tiket', 'lambat']","['lumayan', 'bagus', 'kadang', 'tiket', 'lambat']",lumayan bagus kadang tiket lambat
"kenapa ya ko saya gabisa login, setiap kali login pasti ada tulisan MAAF TERDAPAT KENDALA DI SISTEM KAMI, gimana ini",kenapa ya ko saya gabisa login  setiap kali login pasti ada tulisan MAAF TERDAPAT KENDALA DI SISTEM KAMI  gimana ini,kenapa ya ko saya gabisa login  setiap kali login pasti ada tulisan maaf terdapat kendala di sistem kami  gimana ini,kenapa ya kok saya tidak bisa login setiap kali login pasti ada tulisan maaf terdapat kendala di sistem kami bagaimana ini,"['kenapa', 'ya', 'kok', 'saya', 'tidak', 'bisa', 'login', 'setiap', 'kali', 'login', 'pasti', 'ada', 'tulisan', 'maaf', 'terdapat', 'kendala', 'di', 'sistem', 'kami', 'bagaimana', 'ini']","['ya', 'login', 'kali', 'login', 'tulisan', 'maaf', 'kendala', 'sistem']",ya login kali login tulis maaf kendala sistem
good 👍,good ,good ,good,['good'],['good'],good
"Traveloka jos , mantap dan sportif 👍👍👍",Traveloka jos   mantap dan sportif ,traveloka jos   mantap dan sportif ,traveloka jos mantap dan sportif,"['traveloka', 'jos', 'mantap', 'dan', 'sportif']","['traveloka', 'jos', 'mantap', 'sportif']",traveloka jos mantap sportif
pelayanan online terbaik,pelayanan online terbaik,pelayanan online terbaik,pelayanan online terbaik,"['pelayanan', 'online', 'terbaik']","['pelayanan', 'online', 'terbaik']",layan online baik
mantap tpaylaternya,mantap tpaylaternya,mantap tpaylaternya,mantap tpaylaternya,"['mantap', 'tpaylaternya']","['mantap', 'tpaylaternya']",mantap tpaylaternya
Mantaaaaap 👍,Mantaaaaap ,mantaaaaap ,mantap,['mantap'],['mantap'],mantap
terimakasih diskonnya,terimakasih diskonnya,terimakasih diskonnya,terima kasih diskonnya,"['terima', 'kasih', 'diskonnya']","['terima', 'kasih', 'diskonnya']",terima kasih diskon
fast respon banget😁,fast respon banget,fast respon banget,fast respon banget,"['fast', 'respon', 'banget']","['fast', 'respon', 'banget']",fast respon banget
"ga tau kenapa akhir"" ini traveloka sering error pada saat menggunakan tplaylater nya padahal udh di bayar",ga tau kenapa akhir  ini traveloka sering error pada saat menggunakan tplaylater nya padahal udh di bayar,ga tau kenapa akhir  ini traveloka sering error pada saat menggunakan tplaylater nya padahal udh di bayar,tidak tau kenapa akhir ini traveloka sering error pada saat menggunakan tplaylater nya padahal sudah di bayar,"['tidak', 'tau', 'kenapa', 'akhir', 'ini', 'traveloka', 'sering', 'error', 'pada', 'saat', 'menggunakan', 'tplaylater', 'nya', 'padahal', 'sudah', 'di', 'bayar']","['tau', 'traveloka', 'error', 'tplaylater', 'nya', 'bayar']",tau traveloka error tplaylater nya bayar
tingkatkan diskon,tingkatkan diskon,tingkatkan diskon,tingkatkan diskon,"['tingkatkan', 'diskon']","['tingkatkan', 'diskon']",tingkat diskon
oke sekali,oke sekali,oke sekali,oke sekali,"['oke', 'sekali']",['oke'],oke
mantafff,mantafff,mantafff,mantap,['mantap'],['mantap'],mantap
"Aplikasi sering banget gangguan/maintenance di jam jam kerja.. tidak profesional, makanya saya beralih ke AGODA pesan tiket tidak mengalami gangguan/maintenance.",Aplikasi sering banget gangguan maintenance di jam jam kerja   tidak profesional  makanya saya beralih ke AGODA pesan tiket tidak mengalami gangguan maintenance ,aplikasi sering banget gangguan maintenance di jam jam kerja   tidak profesional  makanya saya beralih ke agoda pesan tiket tidak mengalami gangguan maintenance ,aplikasi sering banget gangguan maintenance di jam jam kerja tidak profesional makanya saya beralih ke agoda pesan tiket tidak mengalami gangguan maintenance,"['aplikasi', 'sering', 'banget', 'gangguan', 'maintenance', 'di', 'jam', 'jam', 'kerja', 'tidak', 'profesional', 'makanya', 'saya', 'beralih', 'ke', 'agoda', 'pesan', 'tiket', 'tidak', 'mengalami', 'gangguan', 'maintenance']","['aplikasi', 'banget', 'gangguan', 'maintenance', 'jam', 'jam', 'kerja', 'profesional', 'beralih', 'agoda', 'pesan', 'tiket', 'mengalami', 'gangguan', 'maintenance']",aplikasi banget ganggu maintenance jam jam kerja profesional alih agoda pesan tiket alami ganggu maintenance
sangat membantu dalam mencari tiket dan hotel,sangat membantu dalam mencari tiket dan hotel,sangat membantu dalam mencari tiket dan hotel,sangat membantu dalam mencari tiket dan hotel,"['sangat', 'membantu', 'dalam', 'mencari', 'tiket', 'dan', 'hotel']","['membantu', 'mencari', 'tiket', 'hotel']",bantu cari tiket hotel
the best aplikasi ini dan thr best untuk hotel santika Bengkulu pelayanan dan kamar sungguh bersih,the best aplikasi ini dan thr best untuk hotel santika Bengkulu pelayanan dan kamar sungguh bersih,the best aplikasi ini dan thr best untuk hotel santika bengkulu pelayanan dan kamar sungguh bersih,the best aplikasi ini dan thr best untuk hotel santika bengkulu pelayanan dan kamar sungguh bersih,"['the', 'best', 'aplikasi', 'ini', 'dan', 'thr', 'best', 'untuk', 'hotel', 'santika', 'bengkulu', 'pelayanan', 'dan', 'kamar', 'sungguh', 'bersih']","['the', 'best', 'aplikasi', 'thr', 'best', 'hotel', 'santika', 'bengkulu', 'pelayanan', 'kamar', 'sungguh', 'bersih']",the best aplikasi thr best hotel santika bengkulu layan kamar sungguh bersih
"pemesanan tiket muda dan cepat, hanya saja untuk diskon kurang dan pilihan kupon diskon pun tidak ada yang cocok untuk penggunaan biasa",pemesanan tiket muda dan cepat  hanya saja untuk diskon kurang dan pilihan kupon diskon pun tidak ada yang cocok untuk penggunaan biasa,pemesanan tiket muda dan cepat  hanya saja untuk diskon kurang dan pilihan kupon diskon pun tidak ada yang cocok untuk penggunaan biasa,pemesanan tiket muda dan cepat hanya saja untuk diskon kurang dan pilihan kupon diskon pun tidak ada yang cocok untuk penggunaan biasa,"['pemesanan', 'tiket', 'muda', 'dan', 'cepat', 'hanya', 'saja', 'untuk', 'diskon', 'kurang', 'dan', 'pilihan', 'kupon', 'diskon', 'pun', 'tidak', 'ada', 'yang', 'cocok', 'untuk', 'penggunaan', 'biasa']","['pemesanan', 'tiket', 'muda', 'cepat', 'diskon', 'pilihan', 'kupon', 'diskon', 'cocok', 'penggunaan']",mesan tiket muda cepat diskon pilih kupon diskon cocok guna
tidak bisa login,tidak bisa login,tidak bisa login,tidak bisa login,"['tidak', 'bisa', 'login']",['login'],login
ok tapi mahal masih,ok tapi mahal masih,ok tapi mahal masih,ok tapi mahal masih,"['ok', 'tapi', 'mahal', 'masih']","['ok', 'mahal']",ok mahal
semakin lama semakin mahal gada diskon kayak platform sebelah,semakin lama semakin mahal gada diskon kayak platform sebelah,semakin lama semakin mahal gada diskon kayak platform sebelah,semakin lama semakin mahal tidak ada diskon kayak platform sebelah,"['semakin', 'lama', 'semakin', 'mahal', 'tidak', 'ada', 'diskon', 'kayak', 'platform', 'sebelah']","['mahal', 'diskon', 'kayak', 'platform', 'sebelah']",mahal diskon kayak platform belah
proses payment nya cepat sat set harga tiket nya lumayan underrated l lov traveloka,proses payment nya cepat sat set harga tiket nya lumayan underrated l lov traveloka,proses payment nya cepat sat set harga tiket nya lumayan underrated l lov traveloka,proses payment nya cepat sat set harga tiket nya lumayan underrated l lov traveloka,"['proses', 'payment', 'nya', 'cepat', 'sat', 'set', 'harga', 'tiket', 'nya', 'lumayan', 'underrated', 'l', 'lov', 'traveloka']","['proses', 'payment', 'nya', 'cepat', 'sat', 'set', 'harga', 'tiket', 'nya', 'lumayan', 'underrated', 'l', 'lov', 'traveloka']",proses payment nya cepat sat set harga tiket nya lumayan underrated l lov traveloka
pesan tiket pesawat lebih mudah dan gampang,pesan tiket pesawat lebih mudah dan gampang,pesan tiket pesawat lebih mudah dan gampang,pesan tiket pesawat lebih mudah dan gampang,"['pesan', 'tiket', 'pesawat', 'lebih', 'mudah', 'dan', 'gampang']","['pesan', 'tiket', 'pesawat', 'mudah', 'gampang']",pesan tiket pesawat mudah gampang
Semoga amanah.. Aamiiin... sukses selalu traveloka,Semoga amanah   Aamiiin    sukses selalu traveloka,semoga amanah   aamiiin    sukses selalu traveloka,semoga amanah amin sukses selalu traveloka,"['semoga', 'amanah', 'amin', 'sukses', 'selalu', 'traveloka']","['semoga', 'amanah', 'amin', 'sukses', 'traveloka']",moga amanah amin sukses traveloka
sangat Membantu Untuk Tpaylater,sangat Membantu Untuk Tpaylater,sangat membantu untuk tpaylater,sangat membantu untuk tpaylater,"['sangat', 'membantu', 'untuk', 'tpaylater']","['membantu', 'tpaylater']",bantu tpaylater
ga tau kenapa Traveloka sering error pada saat menggunakan paylater nya,ga tau kenapa Traveloka sering error pada saat menggunakan paylater nya,ga tau kenapa traveloka sering error pada saat menggunakan paylater nya,tidak tau kenapa traveloka sering error pada saat menggunakan paylater nya,"['tidak', 'tau', 'kenapa', 'traveloka', 'sering', 'error', 'pada', 'saat', 'menggunakan', 'paylater', 'nya']","['tau', 'traveloka', 'error', 'paylater', 'nya']",tau traveloka error paylater nya
